condition,drugName,avg_rating,review_count
Seizures,Topiramate,9.0,5
Sciatica,Diclofenac / misoprostol,9.0,7
Sedation,Lorazepam Intensol,9.0,3
Nausea/Vomiting,Meclizine,9.0,7
"Diabetes, Type 2",Prandin,9.0,4
"Diabetes, Type 2",Repaglinide,9.0,4
Diabetic Kidney Disease,Cozaar,9.0,3
Tonsillitis/Pharyngitis,Penicillin v potassium,9.0,3
"Organ Transplant, Rejection Prophylaxis",Mycophenolate mofetil,9.0,5
Cluster Headaches,Cafergot,9.0,4
Osteoarthritis,Feldene,9.0,4
Schizoaffective Disorde,Latuda,9.0,8
Schizoaffective Disorde,Lamotrigine,9.0,8
Cluster Headaches,D.H.E. 45,9.0,3
Crohn's Disease,Cholestyramine,9.0,6
Schizoaffective Disorde,Lithium,9.0,3
Tonsillitis/Pharyngitis,Zithromax,9.0,5
Pre-Exposure Prophylaxis,Truvada,9.0,3
Actinic Keratosis,Carac,9.0,3
Hot Flashes,Prozac,9.0,3
Chronic Lymphocytic Leukemia,Rituximab,9.0,3
Bronchitis,Biaxin XL,9.0,3
Periodic Limb Movement Disorde,Klonopin,9.0,6
Diabetic Peripheral Neuropathy,Nucynta ER,9.0,6
Abnormal Uterine Bleeding,Mestranol / norethindrone,9.0,3
Stomach Ulce,Ranitidine,9.0,4
Diabetic Peripheral Neuropathy,Topamax,9.0,4
Panic Disorde,Klonopin,9.0,113
Deep Vein Thrombosis,Enoxaparin,9.0,4
Post Traumatic Stress Disorde,Pristiq,9.0,8
"Conjunctivitis, Bacterial",Tobramycin,9.0,3
High Blood Pressure,Trandolapril / verapamil,9.0,3
Post Traumatic Stress Disorde,Risperdal,9.0,5
Cyclic Vomiting Syndrome,Sumatriptan,9.0,3
Cyclic Vomiting Syndrome,Elavil,9.0,3
Non-Hodgkin's Lymphoma,Bendamustine,9.0,3
Postherpetic Neuralgia,Neurontin,9.0,10
"Conjunctivitis, Allergic",Elestat,9.0,3
"Conjunctivitis, Allergic",Epinastine,9.0,3
Pneumonia,Ceftin,9.0,3
Pneumonia,Amoxicillin,9.0,4
Non-Small Cell Lung Cance,Tarceva,9.0,22
Social Anxiety Disorde,Risperidone,9.0,3
"COPD, Maintenance",Combivent,9.0,9
Pharyngitis,Clarithromycin,9.0,4
"COPD, Acute",Levalbuterol,9.0,3
"COPD, Acute",Xopenex,9.0,3
COPD,Tudorza Pressair,9.0,5
Not Listed / Othe,Armodafinil,9.0,4
Burning Mouth Syndrome,Klonopin,9.0,3
Bipolar Disorde,Lamictal ODT,9.0,3
Cough and Nasal Congestion,Rezira,9.0,3
Epilepsy,Keppra XR,9.0,3
Not Listed / Othe,Oxycodone,9.0,11
COPD,Prednisone,9.0,5
Cold Sores,Famvir,9.0,5
Photoaging of the Skin,Retin-A,9.0,3
Vertig,Dramamine II,9.0,4
Dietary Supplementation,Arginine,9.0,3
Uveitis,Remicade,9.0,4
Esophageal Variceal Hemorrhage Prophylaxis,Nadolol,9.0,3
Erosive Esophagitis,Kapidex,9.0,3
Erosive Esophagitis,Nexium,9.0,5
Erosive Esophagitis,Esomeprazole,9.0,5
Depression,Provigil,9.0,4
Interstitial Cystitis,Azo-Standard,9.0,3
min),Dapagliflozin / metformin,9.0,3
Chronic Pain,Methadone,8.98,87
Migraine,Maxalt-MLT,8.97,38
Irritable Bowel Syndrome,Chlordiazepoxide / clidinium,8.97,30
Hyperhidrosis,Aluminum chloride hexahydrate,8.96,320
Panic Disorde,Lorazepam,8.95,41
"Gout, Acute",Methylprednisolone,8.95,19
Chronic Pain,Dilaudid,8.94,33
Irritable Bowel Syndrome,Atropine / hyoscyamine / phenobarbital / scopolamine,8.94,16
Depression,Nefazodone,8.94,16
Migraine,Cambia,8.93,14
Hashimoto's disease,Tirosint,8.93,14
Smoking Cessation,Commit,8.93,14
Obesity,Adipex-P,8.92,65
Insomnia,Flurazepam,8.92,13
Hiccups,Chlorpromazine,8.92,12
ADHD,Clonidine,8.92,24
Hyperhidrosis,Hypercare,8.92,155
Acne,Bactrim,8.9,52
Vaginal Yeast Infection,Acidophilus,8.9,10
Chronic Pain,Subutex,8.9,10
Chronic Myelogenous Leukemia,Dasatinib,8.9,10
Headache,Acetaminophen / butalbital,8.9,10
Migraine Prevention,Lisinopril,8.9,10
Pseudobulbar Affect,Dextromethorphan / quinidine,8.9,10
Alcohol Dependence,Acamprosate,8.9,109
Melasma,Fluocinolone / hydroquinone / tretinoin,8.89,38
Alcohol Withdrawal,Baclofen,8.89,38
Headache,Acetaminophen / butalbital / caffeine,8.89,127
Methicillin-Resistant Staphylococcus Aureus Infection,Linezolid,8.89,9
"Constipation, Acute",Polyethylene glycol 3350,8.89,9
Hepatitis C,Zepatier,8.89,18
Hot Flashes,Gabapentin,8.89,62
Pain,Percocet,8.88,130
Smoking Cessation,Chantix,8.88,633
Menorrhagia,Lysteda,8.88,24
"Asthma, Maintenance",Cromolyn,8.88,8
HIV Infection,Emtricitabine / tenofovir,8.88,8
Allergies,Hydroxyzine,8.88,24
Osteoarthritis,Arthrotec,8.88,16
Cluster Headaches,Imitrex,8.88,16
Migraine,Naratriptan,8.88,24
Alcohol Dependence,Disulfiram,8.87,47
Nausea/Vomiting,Phenergan,8.87,39
Migraine,Maxalt,8.87,70
Anxiety,Alprazolam,8.87,428
Hepatitis C,Ledipasvir / sofosbuvir,8.87,195
Acne,Benzaclin,8.87,52
Anorexia,Cyproheptadine,8.86,59
Obesity,Victoza,8.86,22
Anxiety,Diazepam,8.86,204
Pain,Oxycodone,8.86,281
Premenstrual Dysphoric Disorde,Sertraline,8.86,28
Migraine,Naproxen / sumatriptan,8.86,63
Alcohol Withdrawal,Diazepam,8.86,7
Trigeminal Neuralgia,Trileptal,8.86,7
Sedation,Desyrel,8.86,7
HIV Infection,Truvada,8.86,7
Eczema,Hydrocortisone,8.86,7
Trigeminal Neuralgia,Tegretol XR,8.86,7
Headache,Acetaminophen / caffeine / isometheptene mucate,8.86,7
Pneumonia,Avelox,8.85,27
High Blood Pressure,Azor,8.85,40
Migraine Prevention,Atenolol,8.85,13
Bronchitis,Augmentin,8.85,13
Depression,Symbyax,8.85,13
Smoking Cessation,Varenicline,8.84,785
Constipation,Polyethylene glycol 3350,8.84,97
Urticaria,Levocetirizine,8.83,24
Colorectal Cance,Xeloda,8.83,6
Dental Abscess,Flagyl,8.83,6
High Blood Pressure,Twynsta,8.83,6
Schizophrenia,Clozaril,8.83,6
GERD,Kapidex,8.83,12
Anxiety,Clorazepate,8.83,18
Cutaneous Candidiasis,Nystatin,8.83,6
Restless Legs Syndrome,Neurontin,8.83,6
Cold Sores,Denavir,8.82,28
Acne,Benzoyl peroxide,8.82,22
Osteoarthritis,Pennsaid,8.82,11
Obsessive Compulsive Disorde,Escitalopram,8.81,27
Chronic Myelogenous Leukemia,Gleevec,8.81,16
Schizophrenia,Clozapine,8.81,16
Headache,Acetaminophen / dichloralphenazone / isometheptene mucate,8.8,46
Back Pain,Cataflam,8.8,5
Obsessive Compulsive Disorde,Seroquel,8.8,5
Glioblastoma Multi,Bevacizumab,8.8,5
Endometriosis,Aviane,8.8,5
Post Traumatic Stress Disorde,Lamotrigine,8.8,10
Adult Human Growth Hormone Deficiency,Somatropin,8.8,5
Schizoaffective Disorde,Lamictal,8.8,5
Cold Sores,Sitavig,8.8,5
Skin Cance,Carac,8.8,5
Anesthesia,Lidocaine / prilocaine,8.8,5
Hot Flashes,Effexor XR,8.8,15
Atrial Flutte,Flecainide,8.8,5
Pain,Roxicodone,8.8,20
Weight Loss,Phentermine,8.8,1211
Pain,OxyContin,8.8,134
Erectile Dysfunction,Viagra,8.79,102
Narcolepsy,Adderall,8.79,29
Muscle Spasm,Diazepam,8.79,62
Migraine,Almotriptan,8.79,19
Opiate Withdrawal,Methadone,8.79,122
Back Pain,Voltaren,8.79,14
Melasma,Tri-Luma,8.78,32
Extrapyramidal Reaction,Benztropine,8.78,9
Motion Sickness,Bonine,8.78,18
Erosive Esophagitis,Dexlansoprazole,8.78,9
"Gout, Acute",Indocin,8.78,9
Allergies,Atarax,8.78,9
Panic Disorde,Ativan,8.77,22
Hypertriglyceridemia,Vascepa,8.77,13
Barrett's Esophagus,Dexlansoprazole,8.77,13
Depression,St. john's wort,8.77,43
Trigeminal Neuralgia,Gabapentin,8.76,17
Psoriasis,Clobex,8.76,17
Borderline Personality Disorde,Lamotrigine,8.76,17
Premenstrual Dysphoric Disorde,Sarafem,8.76,17
Depression,Parnate,8.76,38
Nausea/Vomiting,Zofran,8.76,91
Narcolepsy,Amphetamine / dextroamphetamine,8.76,37
Multiple Sclerosis,Alemtuzumab,8.75,4
Chronic Myelogenous Leukemia,Sprycel,8.75,8
Ankylosing Spondylitis,Indomethacin,8.75,4
Migraine Prevention,Lyrica,8.75,4
"Lyme Disease, Arthritis",Hydroxychloroquine,8.75,4
Lichen Sclerosus,Clobetasol,8.75,4
Allergic Rhinitis,Astepro,8.75,12
Rheumatoid Arthritis,Piroxicam,8.75,4
ADHD,Modafinil,8.75,16
Vulvodynia,Tramadol,8.75,4
Rheumatoid Arthritis,Lortab,8.75,4
Noninfectious Colitis,Dicyclomine,8.75,4
Panic Disorde,Desvenlafaxine,8.75,4
"Crohn's Disease, Maintenance",Cimzia,8.75,4
Pneumonia,Rocephin,8.75,12
Acne,Benzoyl peroxide / erythromycin,8.75,24
Soft Tissue Sarcoma,Votrient,8.75,8
"Gout, Prophylaxis",Colchicine,8.75,4
Post Traumatic Stress Disorde,Saphris,8.75,8
Pharyngitis,Azithromycin,8.75,4
Obsessive Compulsive Disorde,Celexa,8.75,4
Gastrointestinal Stromal Tum,Gleevec,8.75,4
"Conjunctivitis, Bacterial",Zylet,8.75,4
Post Traumatic Stress Disorde,Minipress,8.75,4
Smoking Cessation,Habitrol,8.75,4
Borderline Personality Disorde,Abilify,8.75,4
Bone infection,Clindamycin,8.75,8
Urinary Incontinence,Oxytrol,8.75,8
Chronic Myelogenous Leukemia,Imatinib,8.75,16
Not Listed / Othe,Duloxetine,8.75,4
Constipation,Milk of Magnesia,8.75,8
Constipation,Phillips' Milk of Magnesia,8.75,71
Irritable Bowel Syndrome,Amitriptyline,8.74,47
Pain,Methadone,8.74,113
Smoking Cessation,Zyban,8.74,58
Irritable Bowel Syndrome,Nortriptyline,8.74,19
High Blood Pressure,Amlodipine / olmesartan,8.74,34
Nausea/Vomiting,Phosphorated carbohydrate solution,8.73,15
Cluster Headaches,Sumatriptan,8.73,45
Postpartum Depression,Zoloft,8.73,11
Underactive Thyroid,Cytomel,8.73,11
Periodic Limb Movement Disorde,Clonazepam,8.73,11
Alcohol Withdrawal,Gabapentin,8.72,18
Psoriasis,Stelara,8.72,61
"Sexual Dysfunction, SSRI Induced",Viagra,8.71,7
Breakthrough Pain,Actiq,8.71,7
Seizures,Phenobarbital,8.71,7
Insomnia,Edluar,8.71,7
Barrett's Esophagus,Esomeprazole,8.71,14
Anxiety,Xanax,8.71,283
Emergency Contraception,Plan B One-Step,8.71,424
Constipation,Magnesium hydroxide,8.71,90
atigue,Modafinil,8.71,24
COPD,Symbicort,8.71,17
Hepatitis C,Elbasvir / grazoprevir,8.7,20
Headache,Fioricet,8.7,89
Pain,Ibuprofen,8.7,23
Obsessive Compulsive Disorde,Quetiapine,8.69,13
Postmenopausal Symptoms,Premarin,8.69,13
ADHD,Dextroamphetamine,8.69,68
Obesity,Phentermine,8.69,304
Back Pain,Norco,8.69,45
Breakthrough Pain,Fentanyl,8.68,19
Bipolar Disorde,Klonopin,8.68,38
Anxiety,Klonopin,8.68,229
Erectile Dysfunction,Tadalafil,8.67,267
Intermittent Claudication,Pentoxifylline,8.67,3
Xerostomia,NeutraSal,8.67,3
Iron Deficiency Anemia,Niferex,8.67,3
Depression,Sinequan,8.67,3
Rheumatoid Arthritis,Acetaminophen / tramadol,8.67,3
Varicella-Zoste,Valacyclovir,8.67,3
Cold Sores,Famciclovir,8.67,15
Addison's Disease,Hydrocortisone,8.67,3
Anxiety,Paxil CR,8.67,6
Acne,Adoxa,8.67,3
Endometrial Cance,Anastrozole,8.67,3
Dry Eye Disease,Lacrisert,8.67,3
Peripheral Arterial Disease,Clopidogrel,8.67,3
Anxiety,Tenormin,8.67,3
Hepatitis C,Harvoni,8.67,198
Benign Prostatic Hyperplasia,Cardura,8.67,3
Bipolar Disorde,Neurontin,8.67,6
Not Listed / Othe,Testosterone,8.67,3
Psoriatic Arthritis,Remicade,8.67,9
Restless Legs Syndrome,Rotigotine,8.67,21
Bacterial Endocarditis Prevention,Cephalexin,8.67,3
Ankylosing Spondylitis,Indocin SR,8.67,3
"Crohn's Disease, Acute",Budesonide,8.67,3
"Crohn's Disease, Acute",Entocort EC,8.67,3
Systemic Lupus Erythematosus,CellCept,8.67,3
Overactive Bladde,Sanctura XR,8.67,3
Reiter's Syndrome,Adalimumab,8.67,3
Uveitis,Infliximab,8.67,3
Infection Prophylaxis,Sulfamethoxazole / trimethoprim,8.67,3
Indigestion,Magnesium hydroxide,8.67,6
HIV Infection,Lopinavir / ritonavir,8.67,3
Psoriasis,Kenalog,8.67,3
Alopecia,Triamcinolone,8.67,9
"Sexual Dysfunction, SSRI Induced",Wellbutrin,8.67,3
"Pulmonary Embolism, Recurrent Event",Warfarin,8.67,3
Pain,Methadone Diskets,8.67,3
Atopic Dermatitis,Fluticasone,8.67,3
Pain,Fentora,8.67,3
ADHD,Amantadine,8.67,3
zen Shoulde,Diclofenac,8.67,3
2</span> users found this comment helpful.,Microgestin Fe 1 / 20,8.67,3
Emergency Contraception,Plan B,8.66,601
Psoriasis,Clobetasol,8.66,29
Depression,Nardil,8.64,25
Pneumonia,Ceftriaxone,8.64,11
Weight Loss,Megestrol,8.64,11
Erectile Dysfunction,Cialis,8.64,236
ADHD,Dexedrine,8.63,49
Migraine Prevention,Amlodipine,8.63,19
Premenstrual Dysphoric Disorde,Beyaz,8.62,8
Pulmonary Hypertension,Letairis,8.62,8
Osteoarthritis,Vimovo,8.62,8
Urticaria,Doxepin,8.62,8
Pain,Sprix,8.62,8
Bacterial Infection,Ceftriaxone,8.62,16
Hyperprolactinemia,Dostinex,8.62,8
Pharyngitis,Prednisone,8.62,8
Urticaria,Allegra,8.62,16
Opiate Dependence,Buprenorphine / naloxone,8.61,424
Anxiety,Clonazepam,8.61,392
Bipolar Disorde,Trileptal,8.61,23
Migraine,Relpax,8.61,94
Bursitis,Prednisone,8.6,5
Muscle Spasm,Valium,8.6,30
Hereditary Angioedema,C1 esterase inhibitor (human),8.6,5
Migraine,Cafergot,8.6,5
Colorectal Cance,Capecitabine,8.6,10
Interstitial Cystitis,Amitriptyline,8.6,35
"Breast Cancer, Adjuvant",Femara,8.6,5
Indigestion,Calcium carbonate,8.6,5
Anxiety,Viibryd,8.6,5
Cyclic Vomiting Syndrome,Nortriptyline,8.6,5
moterol),Formoterol,8.6,5
HIV Infection,Isentress,8.6,10
Back Pain,Lorcet 10 / 650,8.6,10
Crohn's Disease,Pentasa,8.6,5
Anesthesia,Emla,8.6,5
Psoriasis,Methotrexate,8.6,50
Clostridial Infection,Fidaxomicin,8.6,5
ibromyalgia,Escitalopram,8.6,10
Opiate Withdrawal,Methadose,8.6,15
Back Pain,Lortab,8.59,27
Keratosis,Fluorouracil,8.59,22
Chronic Pain,Percocet,8.59,17
Erectile Dysfunction,Edex,8.58,19
"Herpes Simplex, Suppression",Valtrex,8.58,52
Restless Legs Syndrome,Tramadol,8.58,52
Pain,Fentanyl,8.58,113
Pain/Feve,Acetaminophen / aspirin / caffeine,8.57,7
Indigestion,Omeprazole,8.57,7
Post Traumatic Stress Disorde,Asenapine,8.57,14
Dietary Supplementation,Ubiquinone,8.57,7
Psoriatic Arthritis,Infliximab,8.57,7
Psychosis,Haldol,8.57,7
Allergic Rhinitis,Olopatadine,8.57,7
Sinus Symptoms,Ibuprofen / pseudoephedrine,8.57,23
ADHD,Methamphetamine,8.57,23
Period Pain,Cataflam,8.56,9
"Constipation, Acute",Lactulose,8.56,9
Pain,Reprexain,8.56,9
Pain,Hydrocodone / ibuprofen,8.56,45
Bipolar Disorde,Iloperidone,8.56,9
Motion Sickness,Meclizine,8.56,27
Depression,Amitriptyline,8.55,38
Multiple Sclerosis,Ampyra,8.55,42
Pain,Acetaminophen / oxycodone,8.55,249
Burning Mouth Syndrome,Clonazepam,8.55,11
Nasal Congestion,Phenylephrine,8.55,11
Rheumatoid Arthritis,Etanercept,8.54,59
Obesity,Xenical,8.54,63
Bacterial Infection,Rocephin,8.54,13
Barrett's Esophagus,Nexium,8.54,13
"Herpes Simplex, Suppression",Valacyclovir,8.54,69
Migraine,Eletriptan,8.54,84
Erectile Dysfunction,Sildenafil,8.53,144
Depression,Emsam,8.53,15
Acne,Bactrim DS,8.53,15
Pain,MS Contin,8.53,34
"Organ Transplant, Rejection Prophylaxis",Prograf,8.53,17
Depression,Tranylcypromine,8.53,38
"Organ Transplant, Rejection Prophylaxis",Tacrolimus,8.53,19
Obsessive Compulsive Disorde,Clomipramine,8.52,54
Bipolar Disorde,Gabapentin,8.52,64
Headache,Bupap,8.5,4
Atherosclerosis,Crestor,8.5,4
Schizophrenia,Risperdal Consta,8.5,4
3</span> users found this comment helpful.,Ortho Tri-Cyclen Lo,8.5,4
Rheumatoid Arthritis,Actemra,8.5,10
Vertig,Bonine,8.5,6
Borderline Personality Disorde,Risperdal,8.5,4
ADHD,Methylin,8.5,8
Intraocular Hypertension,Latanoprost,8.5,4
Rhinitis,Chlorpheniramine / methscopolamine / phenylephrine,8.5,4
Cough and Nasal Congestion,Guaifenesin / phenylephrine,8.5,4
High Blood Pressure,Amlodipine / telmisartan,8.5,4
Sinusitis,Ceftin,8.5,8
Still's Disease,Anakinra,8.5,4
Muscle Pain,Aspirin / caffeine / orphenadrine,8.5,4
Trigeminal Neuralgia,Oxcarbazepine,8.5,22
Premenstrual Dysphoric Disorde,Drospirenone / ethinyl estradiol / levomefolate calcium,8.5,8
Postmenopausal Symptoms,Evamist,8.5,10
Glioblastoma Multiforme,Avastin,8.5,4
Light Sedation,Diazepam,8.5,4
Generalized Anxiety Disorde,Celexa,8.5,4
Gas,Simethicone,8.5,6
"Hypothyroidism, After Thyroid Removal",Tirosint,8.5,6
Tinea Corporis,Econazole,8.5,6
Systemic Lupus Erythematosus,Mycophenolate mofetil,8.5,4
ADHD,Zenzedi,8.5,8
Constipation,Psyllium,8.5,6
Headache,Prodrin,8.5,4
Rheumatoid Arthritis,Methylprednisolone,8.5,10
Osteoarthritis,Relafen,8.5,4
Cough,Acetaminophen / codeine,8.5,8
Atherosclerosis,Rosuvastatin,8.5,4
Alcohol Dependence,Naltrexone,8.5,90
Pain,Trolamine salicylate,8.5,12
Alcohol Dependence,Vivitrol,8.5,12
Dysuria,Azo-Standard,8.5,4
Alcohol Withdrawal,Valium,8.5,6
Anesthesia,Diprivan,8.5,14
Rosacea,Sulfacetamide sodium / sulfur,8.5,12
Cluster Headaches,Caffeine / ergotamine,8.5,4
Obstructive Sleep Apnea/Hypopnea Syndrome,Armodafinil,8.5,24
Progesterone Insufficiency,Prometrium,8.5,6
Pain,Tylenol with Codeine,8.5,4
Skin and Structure Infection,Zyvox,8.5,6
Pain,Zohydro ER,8.5,28
Constipation,Metamucil,8.5,6
Herpes Zoste,Acyclovir,8.5,6
Not Listed / Othe,Citalopram,8.5,4
Myasthenia Gravis,CellCept,8.5,4
Pain,Dilaudid,8.48,159
Hirsutism,Vaniqa,8.48,31
Osteoarthritis,Mobic,8.48,29
Gout,Febuxostat,8.48,27
Gout,Uloric,8.48,27
Nausea/Vomiting,Promethazine,8.48,79
Urinary Tract Stones,Flomax,8.48,44
Sinusitis,Zithromax,8.48,21
Vitamin/Mineral Supplementation during Pregnancy/Lactation,"Multivitamin, prenatal",8.48,40
Pain,Ultracet,8.47,19
Emergency Contraception,Levonorgestrel,8.47,1221
atigue,Amphetamine / dextroamphetamine,8.47,17
Schizoaffective Disorde,Asenapine,8.47,15
Migraine,Neurontin,8.47,15
GERD,Prevacid,8.47,30
Obesity,Phentermine / topiramate,8.45,110
"Gout, Acute",Naproxen,8.45,22
Postmenopausal Symptoms,Vivelle-Dot,8.45,11
ibromyalgia,Prednisone,8.45,20
Nausea/Vomiting,Lorazepam,8.44,18
Mitral Valve Prolapse,Metoprolol,8.44,9
Sinus Symptoms,Advil Cold and Sinus,8.44,18
Ankylosing Spondylitis,Simponi,8.44,9
Pain,Fentanyl Transdermal System,8.44,16
Premenstrual Dysphoric Disorde,Fluoxetine,8.43,53
Rosacea,Oracea,8.43,30
Opiate Withdrawal,Catapres,8.43,14
Narcolepsy,Dexedrine,8.43,7
"Asthma, acute",Methylprednisolone,8.43,7
ibromyalgia,Lexapro,8.43,7
Plaque Psoriasis,Enbrel,8.43,7
Anorexia,Dronabinol,8.43,7
Plaque Psoriasis,Etanercept,8.43,7
ADHD,Methylin ER,8.43,7
Headache,Naproxen,8.43,21
Rheumatoid Arthritis,Celebrex,8.43,14
Headache,Dolgic Plus,8.43,7
Social Anxiety Disorde,Venlafaxine,8.42,12
"Nausea/Vomiting, Chemotherapy Induced",Dronabinol,8.42,12
Obesity,Phendimetrazine,8.42,89
Pain,Stadol,8.41,17
Interstitial Cystitis,Phenazopyridine,8.41,22
Premenstrual Dysphoric Disorde,Zoloft,8.41,22
Osteoarthritis,Voltaren Gel,8.41,37
Multiple Sclerosis,Dalfampridine,8.41,37
Acne,Accutane,8.4,321
Depression,Budeprion SR,8.4,5
Post Traumatic Stress Disorde,Dronabinol,8.4,5
"Diabetes, Type 1",Lantus,8.4,5
Smoking Cessation,Nicorette,8.4,5
Postpartum Depression,Sertraline,8.4,10
Mitral Valve Prolapse,Nebivolol,8.4,5
Pe,Propranolol,8.4,5
"Deep Vein Thrombosis, First Event",Warfarin,8.4,5
High Blood Pressure,Tenormin,8.4,5
Depression,Anafranil,8.4,5
Secondary Hyperparathyroidism,Sensipar,8.4,5
"Asthma, Maintenance",Flovent,8.4,5
Edema,Spironolactone,8.4,5
Herpes Simplex,Lysine,8.4,10
Not Listed / Othe,Clonazepam,8.4,5
Chronic Pain,Kadian,8.4,10
Osteoarthritis,Methylprednisolone,8.4,5
Depression,S-adenosylmethionine,8.4,5
ibromyalgia,Nabilone,8.4,5
Acne,Sulfamethoxazole / trimethoprim,8.39,93
Diarrhea,Loperamide,8.38,13
Acne,Isotretinoin,8.38,517
Menorrhagia,Tranexamic acid,8.38,42
Photoaging of the Skin,Tretinoin,8.38,21
Chronic Pain,Hydromorphone,8.38,69
Psoriasis,Desoximetasone,8.38,8
Oophorectomy,Conjugated estrogens,8.38,8
Insomnia,Dalmane,8.38,8
Irritable Bowel Syndrome,Venlafaxine,8.38,8
Not Listed / Othe,Gabapentin,8.38,8
Rosacea,Isotretinoin,8.38,8
HIV Infection,Triumeq,8.37,54
"Sexual Dysfunction, SSRI Induced",Sildenafil,8.36,11
Bipolar Disorde,Clonazepam,8.36,50
ibromyalgia,Guaifenesin,8.36,50
Rosacea,Minocycline,8.36,14
Acne,Onexton,8.36,14
Pain,Acetaminophen / caffeine / dihydrocodeine,8.36,14
Obstructive Sleep Apnea/Hypopnea Syndrome,Modafinil,8.35,17
Obstructive Sleep Apnea/Hypopnea Syndrome,Provigil,8.35,17
Rheumatoid Arthritis,Enbrel,8.35,54
Insomnia,Seroquel,8.34,47
1</span> users found this comment helpful.,Sprintec,8.33,3
ibromyalgia,Nuvigil,8.33,6
ADHD,Nuvigil,8.33,6
Dermatitis,Coal tar,8.33,3
Uveitis,Durezol,8.33,3
Chronic Pain,Subsys,8.33,3
Atopic Dermatitis,Betamethasone,8.33,3
Renal Cell Carcinoma,Sunitinib,8.33,12
Renal Cell Carcinoma,Pazopanib,8.33,30
Depression,Selegiline,8.33,21
Weight Loss,Belviq XR,8.33,3
Prevention of Osteoporosis,Reclast,8.33,3
Prevention of Osteoporosis,Zoledronic acid,8.33,3
Endometriosis,LoSeasonique,8.33,3
Endometriosis,Desogestrel / ethinyl estradiol,8.33,3
Basal Cell Carcinoma,Efudex,8.33,3
Barrett's Esophagus,Pantoprazole,8.33,6
Autoimmune Hemolytic Anemia,Prednisone,8.33,3
Opiate Adjunct,Promethazine,8.33,6
Atrial Fibrillation,Propafenone,8.33,27
Chronic Pain,Xartemis XR,8.33,3
Obesity,Desvenlafaxine,8.33,3
Not Listed / Othe,Baclofen,8.33,3
Not Listed / Othe,Atenolol,8.33,3
Not Listed / Othe,Lisdexamfetamine,8.33,3
Asthma,Methylprednisolone,8.33,3
"Gout, Acute",Colcrys,8.33,15
"Asthma, Maintenance",Pulmicort Turbuhaler,8.33,3
Opiate Withdrawal,Catapres-TTS,8.33,3
Acne,Retin A Micro,8.33,3
Endometriosis,Quasense,8.33,3
Acne,Acticlate,8.33,3
Seizure Prevention,Diazepam,8.33,3
Schizophrenia,Cariprazine,8.33,9
Acne,Magnesium hydroxide,8.33,3
Obesity,Didrex,8.33,6
Not Listed / Othe,Desvenlafaxine,8.33,3
Status Epilepticus,Ativan,8.33,3
Postural Orthostatic Tachycardia Syndrome,Florinef,8.33,3
Postoperative Ocular Inflammation,Loteprednol,8.33,3
Dietary Supplementation,Bifidobacterium infantis / lactobacillus acidophilus,8.33,3
Myasthenia Gravis,Mycophenolate mofetil,8.33,12
Bipolar Disorde,Wellbutrin XL,8.33,3
Sjogren's Syndrome,Cevimeline,8.33,9
Diarrhea,Florastor,8.33,3
Multiple Sclerosis,Lemtrada,8.33,3
High Blood Pressure,Zestoretic,8.33,3
High Blood Pressure,Methyldopa,8.33,3
Hyperhidrosis,Terazosin,8.33,3
Hypersomnia,Vivarin,8.33,3
"Conjunctivitis, Bacterial",Loteprednol / tobramycin,8.33,3
"Glaucoma, Open Angle",Timolol,8.33,3
Pneumonia,Moxifloxacin,8.33,30
ADHD,Adderall,8.33,160
Psoriasis,Ustekinumab,8.33,67
Anxiety,Lorazepam,8.33,299
Obsessive Compulsive Disorde,Prozac,8.32,37
"Asthma, Maintenance",Xolair,8.32,34
Osteoarthritis,Diclofenac,8.32,118
Generalized Anxiety Disorde,Lexapro,8.32,205
Cold Sores,Acyclovir,8.32,25
Arrhythmia,Tikosyn,8.32,25
Narcolepsy,Xyrem,8.32,50
Allergic Rhinitis,Levocetirizine,8.32,25
Psoriatic Arthritis,Etanercept,8.32,25
Bipolar Disorde,Fluoxetine / olanzapine,8.32,22
Pain,Avinza,8.32,19
"Gout, Acute",Indomethacin,8.32,73
Acne,Azelaic acid,8.31,16
ibromyalgia,Metaxalone,8.31,16
HIV Infection,Emtricitabine / rilpivirine / tenofovir,8.31,42
Headache,Ibuprofen,8.31,13
Seasonal Allergic Conjunctivitis,Patanol,8.31,13
Insomnia,Ativan,8.31,13
Smoking Cessation,Bupropion,8.31,147
GERD,Rabeprazole,8.3,23
Chronic Pain,Exalgo,8.3,20
Restless Legs Syndrome,Gabapentin,8.3,47
Weight Loss,Saxenda,8.29,95
Cough,Hydromet,8.29,24
Urticaria,Xyzal,8.29,24
Bulimia,Fluoxetine,8.29,24
Anxiety,Serax,8.29,7
Pain,Vicodin HP,8.29,7
Seizure Prevention,Klonopin,8.29,7
Vaginal Yeast Infection,Lactobacillus acidophilus,8.29,7
Performance Anxiety,Inderal,8.29,7
Acne,Retin-A,8.28,32
Bipolar Disorde,Lamictal,8.28,300
Migraine,Sumavel DosePro,8.28,25
Bipolar Disorde,Lamotrigine,8.28,406
Cough,Hycodan,8.28,18
Rheumatoid Arthritis,Infliximab,8.28,18
Postmenopausal Symptoms,Conjugated estrogens,8.28,18
Generalized Anxiety Disorde,Pregabalin,8.28,119
Hiccups,Thorazine,8.27,11
Skin and Structure Infection,Mupirocin,8.27,11
